RM0108-0012	2017-08-31	12
RM0108-0018	2017-09-01	18
RM0109-0001	2017-09-02	1
RM0109-0004	2017-09-03	4
RM0109-0003	2017-09-04	3
RM0108-0001	2017-09-05	1
RM0117-0104	2017-09-06	104
RM0106-0021	2017-09-07	21
RM0106-0030	2017-09-08	30
RM0106-0022	2017-09-09	22
RM0106-0023	2017-09-10	23
RM0106-0024	2017-09-11	24
RM0106-0031	2017-09-12	31
RM0106-0026	2017-09-13	26
RM0106-0027	2017-09-14	27
RM0106-0029	2017-09-15	29
RM0106-0044	2017-09-16	1350
RM0117-0101	2017-09-17	101
RM0117-0103	2017-09-18	103
RM0117-0102	2017-09-19	102
RM0109-0002	2017-09-20	2
SQ0107-0102	2017-09-21	102
SQ0107-0104	2017-09-22	104
SQ0107-0101	2017-09-23	101
SQ0107-0103	2017-09-24	103
SQ0112-0501	2017-09-25	1946
SQ0112-0511	2017-09-26	1946
SQ0112-0503	2017-09-27	1946
SQ0112-0513	2017-09-28	1946
SQ0112-0504	2017-09-29	1946
SQ0201-0016	2017-09-30	16
SQ0201-0017	2017-10-01	17
SQ0201-0018	2017-10-02	18
SQ0201-0001	2017-10-03	1
SQ0201-0002	2017-10-04	2
SQ0201-0003	2017-10-05	3
SQ0201-0004	2017-10-06	4
SQ0201-0005	2017-10-07	5
SQ0201-0006	2017-10-08	6
SQ0201-0007	2017-10-09	7
SQ0201-0008	2017-10-10	8
SQ0201-0009	2017-10-11	9
SQ0201-0010	2017-10-12	10
SQ0201-0011	2017-10-13	11
SQ0201-0012	2017-10-14	12
SQ0201-0013	2017-10-15	13
SQ0201-0014	2017-10-16	14
SQ0202-0030	2017-10-17	30
SQ0202-0031	2017-10-18	31
SQ0202-0032	2017-10-19	32
SQ0202-0033	2017-10-20	33
SQ0202-0021	2017-10-21	21
SQ0202-0025	2017-10-22	25
SQ0202-0017	2017-10-23	17
SQ0202-0022	2017-10-24	22
SQ0202-0026	2017-10-25	26
SQ0202-0018	2017-10-26	18
SQ0202-0023	2017-10-27	23
SQ0202-0027	2017-10-28	27
SQ0202-0019	2017-10-29	19
SQ0202-0024	2017-10-30	24
SQ0202-0028	2017-10-31	28
SQ0202-0020	2017-11-01	20
SQ0202-0053	2017-11-02	53
SQ0202-0054	2017-11-03	54
SQ0202-0052	2017-11-04	52
SQ0202-0056	2017-11-05	56
SQ0202-0057	2017-11-06	57
SQ0202-0055	2017-11-07	55
SQ0202-0009	2017-11-08	9
SQ0202-0010	2017-11-09	10
SQ0202-0001	2017-11-10	1
SQ0202-0002	2017-11-11	2
SQ0202-0003	2017-11-12	3
SQ0202-0004	2017-11-13	4
SQ0202-0007	2017-11-14	7
SQ0202-0005	2017-11-15	5
SQ0202-0008	2017-11-16	8
SQ0202-0006	2017-11-17	6
SQ0202-0014	2017-11-18	14
SQ0202-0015	2017-11-19	15
SQ0202-0011	2017-11-20	11
SQ0202-0013	2017-11-21	13
SQ0202-0016	2017-11-22	16
SQ0202-0012	2017-11-23	12
SQ0202-0044	2017-11-24	44
SQ0202-0046	2017-11-25	46
SQ0202-0048	2017-11-26	48
SQ0202-0050	2017-11-27	50
SQ0202-0036	2017-11-28	36
SQ0202-0038	2017-11-29	38
SQ0202-0040	2017-11-30	40
SQ0202-0042	2017-12-01	42
SQ0203-0023	2017-12-02	23
SQ0203-0024	2017-12-03	24
SQ0203-0025	2017-12-04	25
SQ0203-0001	2017-12-05	1
SQ0203-0002	2017-12-06	2
SQ0203-0003	2017-12-07	3
SQ0203-0004	2017-12-08	4
SQ0203-0005	2017-12-09	5
SQ0203-0006	2017-12-10	6
SQ0203-0007	2017-12-11	7
SQ0203-0008	2017-12-12	8
SQ0203-0009	2017-12-13	9
SQ0203-0010	2017-12-14	10
SQ0203-0011	2017-12-15	11
SQ0203-0012	2017-12-16	12
SQ0203-0013	2017-12-17	13
SQ0203-0014	2017-12-18	14
SQ0203-0015	2017-12-19	15
SQ0203-0016	2017-12-20	16
SQ0203-0017	2017-12-21	17
SQ0203-0018	2017-12-22	18
SQ0203-0019	2017-12-23	19
SQ0203-0020	2017-12-24	20
SQ0203-0021	2017-12-25	21
